Event Name,Event Description,Event Goal,Collaborating Orgs & Departments,Event Start Date,Event Start Time,Event End Date,Event End Time,Anticipated Attendance,Expense Type,Explanation,Vendor,Item Number,Item Description,Quantity per package,Cost per package,Number of packages,Item Url,Need by Date,Need by Time
Open Project Space 2.0,The Open Project Space Program (OPS Program) is an embedded systems design workshop designed to give students hands-on knowledge of Electrical and Computer Engineering concepts through various projects from lighting up LEDs with 555 Timer ICs to programming Arduinos to emit different frequencies from a piezo buzzer.,The goal of the Open Project Space Program is to introduce and prepare students for the various concepts and problems that they will face in more advanced coursework through hands-on projects with microcontrollers.,AIAA,09/12/2022,10:00 AM,10/07/2022,12:00 PM,2 sessions of 15 students each,Equipment & Parts,"The workshop series is designed to teach students about circuits so 3.7V Batteries and JST connectors for the batteries are necessary. Additionally, to construct more complex circuits additional electrical components such as resistors and capacitors of varying resistance and capacitance are needed as well as 555 timer ICs, potentiometers, and push buttons. Additional Mini USB cables are also required to upload code to the Arduino Nanos that have no cables.",Amazon,B081H2JQRV,REXQualis 840 Pieces Breadboard Jumper Wire Kit with 14 Lengths Assorted Jumper Wire for Breadboard Prototyping Solder Circuits,840,15.99,1,https://www.amazon.com/REXQualis-Breadboard-Assorted-Prototyping-Circuits/dp/B081H2JQRV/ref=sr_1_15?dchild=1&keywords=jumper+wires&qid=1622694404&sr=8-15,09/09/2022,12:00 PM
Open Project Space 2.0,The Open Project Space Program (OPS Program) is an embedded systems design workshop designed to give students hands-on knowledge of Electrical and Computer Engineering concepts through various projects from lighting up LEDs with 555 Timer ICs to programming Arduinos to emit different frequencies from a piezo buzzer.,The goal of the Open Project Space Program is to introduce and prepare students for the various concepts and problems that they will face in more advanced coursework through hands-on projects with microcontrollers.,AIAA,09/12/2022,10:00 AM,10/07/2022,12:00 PM,2 sessions of 15 students each,Equipment & Parts,"The workshop series is designed to teach students about circuits so 3.7V Batteries and JST connectors for the batteries are necessary. Additionally, to construct more complex circuits additional electrical components such as resistors and capacitors of varying resistance and capacitance are needed as well as 555 timer ICs, potentiometers, and push buttons. Additional Mini USB cables are also required to upload code to the Arduino Nanos that have no cables.",Digikey,10KQBK-ND,CFR-25JB-52-10K,1,0.04,65,https://www.digikey.com/en/products/detail/yageo/CFR-25JB-52-10K/338,09/09/2022,12:00 PM
Open Project Space 2.0,The Open Project Space Program (OPS Program) is an embedded systems design workshop designed to give students hands-on knowledge of Electrical and Computer Engineering concepts through various projects from lighting up LEDs with 555 Timer ICs to programming Arduinos to emit different frequencies from a piezo buzzer.,The goal of the Open Project Space Program is to introduce and prepare students for the various concepts and problems that they will face in more advanced coursework through hands-on projects with microcontrollers.,AIAA,09/12/2022,10:00 AM,10/07/2022,12:00 PM,2 sessions of 15 students each,Equipment & Parts,"The workshop series is designed to teach students about circuits so 3.7V Batteries and JST connectors for the batteries are necessary. Additionally, to construct more complex circuits additional electrical components such as resistors and capacitors of varying resistance and capacitance are needed as well as 555 timer ICs, potentiometers, and push buttons. Additional Mini USB cables are also required to upload code to the Arduino Nanos that have no cables.",Digikey,S130HCT-ND,CFM12JT130R,1,0.03,120,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CFM12JT130R/2617554,09/09/2022,12:00 PM
Open Project Space 2.0,The Open Project Space Program (OPS Program) is an embedded systems design workshop designed to give students hands-on knowledge of Electrical and Computer Engineering concepts through various projects from lighting up LEDs with 555 Timer ICs to programming Arduinos to emit different frequencies from a piezo buzzer.,The goal of the Open Project Space Program is to introduce and prepare students for the various concepts and problems that they will face in more advanced coursework through hands-on projects with microcontrollers.,AIAA,09/12/2022,10:00 AM,10/07/2022,12:00 PM,2 sessions of 15 students each,Equipment & Parts,"The workshop series is designed to teach students about circuits so 3.7V Batteries and JST connectors for the batteries are necessary. Additionally, to construct more complex circuits additional electrical components such as resistors and capacitors of varying resistance and capacitance are needed as well as 555 timer ICs, potentiometers, and push buttons. Additional Mini USB cables are also required to upload code to the Arduino Nanos that have no cables.",Digikey,2019-CFS1/4CT52R272JCT-ND,CFS1/4CT52R272J,1,0.05,90,https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/CFS1-4CT52R272J/13537236,09/09/2022,12:00 PM
Open Project Space 2.0,The Open Project Space Program (OPS Program) is an embedded systems design workshop designed to give students hands-on knowledge of Electrical and Computer Engineering concepts through various projects from lighting up LEDs with 555 Timer ICs to programming Arduinos to emit different frequencies from a piezo buzzer.,The goal of the Open Project Space Program is to introduce and prepare students for the various concepts and problems that they will face in more advanced coursework through hands-on projects with microcontrollers.,AIAA,09/12/2022,10:00 AM,10/07/2022,12:00 PM,2 sessions of 15 students each,Equipment & Parts,"The workshop series is designed to teach students about circuits so 3.7V Batteries and JST connectors for the batteries are necessary. Additionally, to construct more complex circuits additional electrical components such as resistors and capacitors of varying resistance and capacitance are needed as well as 555 timer ICs, potentiometers, and push buttons. Additional Mini USB cables are also required to upload code to the Arduino Nanos that have no cables.",Digikey,200QBK-ND,CFR-25JB-52-200R,1,0.04,90,https://www.digikey.com/en/products/detail/yageo/CFR-25JB-52-200R/712,09/09/2022,12:00 PM
Open Project Space 2.0,The Open Project Space Program (OPS Program) is an embedded systems design workshop designed to give students hands-on knowledge of Electrical and Computer Engineering concepts through various projects from lighting up LEDs with 555 Timer ICs to programming Arduinos to emit different frequencies from a piezo buzzer.,The goal of the Open Project Space Program is to introduce and prepare students for the various concepts and problems that they will face in more advanced coursework through hands-on projects with microcontrollers.,AIAA,09/12/2022,10:00 AM,10/07/2022,12:00 PM,2 sessions of 15 students each,Equipment & Parts,"The workshop series is designed to teach students about circuits so 3.7V Batteries and JST connectors for the batteries are necessary. Additionally, to construct more complex circuits additional electrical components such as resistors and capacitors of varying resistance and capacitance are needed as well as 555 timer ICs, potentiometers, and push buttons. Additional Mini USB cables are also required to upload code to the Arduino Nanos that have no cables.",Digikey,1568-1616-ND,COM-09806,1,1.05,5,https://www.digikey.com/en/products/detail/sparkfun-electronics/COM-09806/7319606?utm_adgroup=Trimmer%20Potentiometers&utm_source=google&utm_medium=cpc&utm_campaign=Shopping_Product_Potentiometers%2C%20Variable%20Resistors_NEW&utm_term=&utm_content=Trimmer%20Potentiometers&gclid=Cj0KCQjwn4qWBhCvARIsAFNAMigd712HtYL0aDTeiGiCOs_uWyKRm2Gw3gHHvzDRXmdpH4jcgM_ujVIaAv6jEALw_wcB,09/09/2022,12:00 PM
Open Project Space 2.0,The Open Project Space Program (OPS Program) is an embedded systems design workshop designed to give students hands-on knowledge of Electrical and Computer Engineering concepts through various projects from lighting up LEDs with 555 Timer ICs to programming Arduinos to emit different frequencies from a piezo buzzer.,The goal of the Open Project Space Program is to introduce and prepare students for the various concepts and problems that they will face in more advanced coursework through hands-on projects with microcontrollers.,AIAA,09/12/2022,10:00 AM,10/07/2022,12:00 PM,2 sessions of 15 students each,Equipment & Parts,"The workshop series is designed to teach students about circuits so 3.7V Batteries and JST connectors for the batteries are necessary. Additionally, to construct more complex circuits additional electrical components such as resistors and capacitors of varying resistance and capacitance are needed as well as 555 timer ICs, potentiometers, and push buttons. Additional Mini USB cables are also required to upload code to the Arduino Nanos that have no cables.",Digikey,679-2428-ND,MJTP1230,1,0.08,65,https://www.digikey.com/short/bzf2z0t5,09/09/2022,12:00 PM
Open Project Space 2.0,The Open Project Space Program (OPS Program) is an embedded systems design workshop designed to give students hands-on knowledge of Electrical and Computer Engineering concepts through various projects from lighting up LEDs with 555 Timer ICs to programming Arduinos to emit different frequencies from a piezo buzzer.,The goal of the Open Project Space Program is to introduce and prepare students for the various concepts and problems that they will face in more advanced coursework through hands-on projects with microcontrollers.,AIAA,09/12/2022,10:00 AM,10/07/2022,12:00 PM,2 sessions of 15 students each,Equipment & Parts,"The workshop series is designed to teach students about circuits so 3.7V Batteries and JST connectors for the batteries are necessary. Additionally, to construct more complex circuits additional electrical components such as resistors and capacitors of varying resistance and capacitance are needed as well as 555 timer ICs, potentiometers, and push buttons. Additional Mini USB cables are also required to upload code to the Arduino Nanos that have no cables.",Other: Mouser,562-3021003-03,3021003-03,1,2.32,5,https://www.mouser.com/ProductDetail/Qualtek/3021003-03/?qs=sGAEpiMZZMsnDbBzJh6VGJdPZmg6V0p2,09/09/2022,12:00 PM
Open Project Space 2.0,The Open Project Space Program (OPS Program) is an embedded systems design workshop designed to give students hands-on knowledge of Electrical and Computer Engineering concepts through various projects from lighting up LEDs with 555 Timer ICs to programming Arduinos to emit different frequencies from a piezo buzzer.,The goal of the Open Project Space Program is to introduce and prepare students for the various concepts and problems that they will face in more advanced coursework through hands-on projects with microcontrollers.,AIAA,09/12/2022,10:00 AM,10/07/2022,12:00 PM,2 sessions of 15 students each,Equipment & Parts,"The workshop series is designed to teach students about circuits so 3.7V Batteries and JST connectors for the batteries are necessary. Additionally, to construct more complex circuits additional electrical components such as resistors and capacitors of varying resistance and capacitance are needed as well as 555 timer ICs, potentiometers, and push buttons. Additional Mini USB cables are also required to upload code to the Arduino Nanos that have no cables.",Digikey,A100043-ND,440055-2,1,0.15,30,https://www.digikey.com/short/ff7cfzph,09/09/2022,12:00 PM
Open Project Space 2.0,The Open Project Space Program (OPS Program) is an embedded systems design workshop designed to give students hands-on knowledge of Electrical and Computer Engineering concepts through various projects from lighting up LEDs with 555 Timer ICs to programming Arduinos to emit different frequencies from a piezo buzzer.,The goal of the Open Project Space Program is to introduce and prepare students for the various concepts and problems that they will face in more advanced coursework through hands-on projects with microcontrollers.,AIAA,09/12/2022,10:00 AM,10/07/2022,12:00 PM,2 sessions of 15 students each,Equipment & Parts,"The workshop series is designed to teach students about circuits so 3.7V Batteries and JST connectors for the batteries are necessary. Additionally, to construct more complex circuits additional electrical components such as resistors and capacitors of varying resistance and capacitance are needed as well as 555 timer ICs, potentiometers, and push buttons. Additional Mini USB cables are also required to upload code to the Arduino Nanos that have no cables.",Digikey,445-173113-3-ND,FG11X5R0J686MRT06,1,0.71,30,https://www.digikey.com/short/j207p200,09/09/2022,12:00 PM
